count,data_version,denominator,from_cluster,from_date,rate,run_id,to_cluster,to_date
3,run-5016b877990c,5,1,2025-01-31,0.6,experiment-85dd31d7598b,1,2025-02-28
2,run-5016b877990c,5,1,2025-01-31,0.4,experiment-85dd31d7598b,2,2025-02-28
0,run-5016b877990c,5,1,2025-01-31,0.0,experiment-85dd31d7598b,0,2025-02-28
0,run-5016b877990c,4,2,2025-01-31,0.0,experiment-85dd31d7598b,1,2025-02-28
2,run-5016b877990c,4,2,2025-01-31,0.5,experiment-85dd31d7598b,2,2025-02-28
2,run-5016b877990c,4,2,2025-01-31,0.5,experiment-85dd31d7598b,0,2025-02-28
1,run-5016b877990c,3,0,2025-01-31,0.3333333333333333,experiment-85dd31d7598b,1,2025-02-28
0,run-5016b877990c,3,0,2025-01-31,0.0,experiment-85dd31d7598b,2,2025-02-28
2,run-5016b877990c,3,0,2025-01-31,0.6666666666666666,experiment-85dd31d7598b,0,2025-02-28
2,run-5016b877990c,4,1,2025-02-28,0.5,experiment-85dd31d7598b,1,2025-03-31
2,run-5016b877990c,4,1,2025-02-28,0.5,experiment-85dd31d7598b,2,2025-03-31
0,run-5016b877990c,4,1,2025-02-28,0.0,experiment-85dd31d7598b,0,2025-03-31
0,run-5016b877990c,4,2,2025-02-28,0.0,experiment-85dd31d7598b,1,2025-03-31
3,run-5016b877990c,4,2,2025-02-28,0.75,experiment-85dd31d7598b,2,2025-03-31
1,run-5016b877990c,4,2,2025-02-28,0.25,experiment-85dd31d7598b,0,2025-03-31
2,run-5016b877990c,4,0,2025-02-28,0.5,experiment-85dd31d7598b,1,2025-03-31
0,run-5016b877990c,4,0,2025-02-28,0.0,experiment-85dd31d7598b,2,2025-03-31
2,run-5016b877990c,4,0,2025-02-28,0.5,experiment-85dd31d7598b,0,2025-03-31
3,run-5016b877990c,4,1,2025-03-31,0.75,experiment-85dd31d7598b,1,2025-04-30
1,run-5016b877990c,4,1,2025-03-31,0.25,experiment-85dd31d7598b,0,2025-04-30
0,run-5016b877990c,4,1,2025-03-31,0.0,experiment-85dd31d7598b,2,2025-04-30
1,run-5016b877990c,3,0,2025-03-31,0.3333333333333333,experiment-85dd31d7598b,1,2025-04-30
2,run-5016b877990c,3,0,2025-03-31,0.6666666666666666,experiment-85dd31d7598b,0,2025-04-30
0,run-5016b877990c,3,0,2025-03-31,0.0,experiment-85dd31d7598b,2,2025-04-30
1,run-5016b877990c,5,2,2025-03-31,0.2,experiment-85dd31d7598b,1,2025-04-30
2,run-5016b877990c,5,2,2025-03-31,0.4,experiment-85dd31d7598b,0,2025-04-30
2,run-5016b877990c,5,2,2025-03-31,0.4,experiment-85dd31d7598b,2,2025-04-30
3,run-5016b877990c,5,0,2025-04-30,0.6,experiment-85dd31d7598b,0,2025-05-30
1,run-5016b877990c,5,0,2025-04-30,0.2,experiment-85dd31d7598b,2,2025-05-30
1,run-5016b877990c,5,0,2025-04-30,0.2,experiment-85dd31d7598b,1,2025-05-30
0,run-5016b877990c,2,2,2025-04-30,0.0,experiment-85dd31d7598b,0,2025-05-30
2,run-5016b877990c,2,2,2025-04-30,1.0,experiment-85dd31d7598b,2,2025-05-30
0,run-5016b877990c,2,2,2025-04-30,0.0,experiment-85dd31d7598b,1,2025-05-30
2,run-5016b877990c,5,1,2025-04-30,0.4,experiment-85dd31d7598b,0,2025-05-30
2,run-5016b877990c,5,1,2025-04-30,0.4,experiment-85dd31d7598b,2,2025-05-30
1,run-5016b877990c,5,1,2025-04-30,0.2,experiment-85dd31d7598b,1,2025-05-30
2,run-5016b877990c,2,1,2025-05-30,1.0,experiment-85dd31d7598b,1,2025-06-30
0,run-5016b877990c,2,1,2025-05-30,0.0,experiment-85dd31d7598b,2,2025-06-30
0,run-5016b877990c,2,1,2025-05-30,0.0,experiment-85dd31d7598b,0,2025-06-30
3,run-5016b877990c,5,2,2025-05-30,0.6,experiment-85dd31d7598b,1,2025-06-30
2,run-5016b877990c,5,2,2025-05-30,0.4,experiment-85dd31d7598b,2,2025-06-30
0,run-5016b877990c,5,2,2025-05-30,0.0,experiment-85dd31d7598b,0,2025-06-30
0,run-5016b877990c,5,0,2025-05-30,0.0,experiment-85dd31d7598b,1,2025-06-30
3,run-5016b877990c,5,0,2025-05-30,0.6,experiment-85dd31d7598b,2,2025-06-30
2,run-5016b877990c,5,0,2025-05-30,0.4,experiment-85dd31d7598b,0,2025-06-30
